id,category,model,factual_accuracy,clarity,neutrality,helpfulness,overall_score,response_length,flesch_reading_ease,vocab_diversity
1,Pregnancy/Reproductive Health,gpt-3.5-turbo,4,5,5,5,4.75,52,21.668589743589763,0.711864406779661
1,Pregnancy/Reproductive Health,gpt-4,5,5,5,5,5.0,57,27.62388157894739,0.796875
1,Pregnancy/Reproductive Health,gpt-4-turbo,5,5,5,5,5.0,76,17.4874561403509,0.7126436781609196
2,Nutrition/Lifestyle,gpt-3.5-turbo,5,5,5,5,5.0,71,53.010732394366215,0.6049382716049383
2,Nutrition/Lifestyle,gpt-4,5,5,5,5,5.0,76,24.43331578947371,0.7640449438202247
2,Nutrition/Lifestyle,gpt-4-turbo,5,5,5,5,5.0,136,42.797352941176484,0.6038961038961039
3,Cardiovascular Health,gpt-3.5-turbo,5,5,5,5,5.0,124,42.07152329749107,0.7194244604316546
3,Cardiovascular Health,gpt-4,5,4,5,5,4.75,156,62.94384615384618,0.6284153005464481
3,Cardiovascular Health,gpt-4-turbo,5,5,5,5,5.0,134,37.007659883720976,0.5401069518716578
4,Mental Health,gpt-3.5-turbo,5,5,5,5,5.0,52,15.160897435897482,0.75
4,Mental Health,gpt-4,5,5,5,5,5.0,100,30.870333333333377,0.7130434782608696
4,Mental Health,gpt-4-turbo,5,5,5,5,5.0,141,23.79000000000002,0.5833333333333334
5,General Health,gpt-3.5-turbo,4,5,5,5,4.75,42,19.3964285714286,0.8478260869565217
5,General Health,gpt-4,4,5,5,5,4.75,139,28.435395683453265,0.5279503105590062
5,General Health,gpt-4-turbo,4,5,5,4,4.5,148,33.719662162162166,0.520618556701031
6,Pregnancy/Reproductive Health,gpt-3.5-turbo,4,5,5,4,4.5,84,37.47000000000003,0.6774193548387096
6,Pregnancy/Reproductive Health,gpt-4,5,5,5,5,5.0,83,15.668995983935758,0.6428571428571429
6,Pregnancy/Reproductive Health,gpt-4-turbo,5,5,5,5,5.0,145,32.363103448275865,0.6832298136645962
7,Pregnancy/Reproductive Health,gpt-3.5-turbo,5,5,5,5,5.0,82,43.65189024390244,0.7272727272727273
7,Pregnancy/Reproductive Health,gpt-4,5,5,5,5,5.0,82,36.46460975609759,0.7717391304347826
7,Pregnancy/Reproductive Health,gpt-4-turbo,5,5,5,5,5.0,143,44.93103583916084,0.5974842767295597
8,General Health,gpt-3.5-turbo,5,5,5,5,5.0,72,42.86500000000001,0.7875
8,General Health,gpt-4,5,5,5,5,5.0,89,34.139063670412014,0.72
8,General Health,gpt-4-turbo,5,5,5,5,5.0,140,35.10166666666669,0.61875
9,Medical Procedures,gpt-3.5-turbo,5,5,5,5,5.0,60,22.975000000000023,0.8307692307692308
9,Medical Procedures,gpt-4,5,5,5,5,5.0,76,25.028947368421086,0.7529411764705882
9,Medical Procedures,gpt-4-turbo,5,5,5,5,5.0,167,32.47895542248838,0.5771144278606966
10,Medical Procedures,gpt-3.5-turbo,2,5,5,3,3.75,58,36.97373563218392,0.7619047619047619
10,Medical Procedures,gpt-4,3,5,5,4,4.25,67,34.523302238806,0.7432432432432432
10,Medical Procedures,gpt-4-turbo,3,5,5,4,4.25,121,16.56786776859508,0.6590909090909091
11,General Health,gpt-3.5-turbo,4,5,5,5,4.75,86,42.37296511627909,0.6767676767676768
11,General Health,gpt-4,5,5,5,5,5.0,105,52.57714285714289,0.7350427350427351
11,General Health,gpt-4-turbo,5,5,5,5,5.0,157,44.48475053078556,0.6416184971098265
12,General Health,gpt-3.5-turbo,5,5,5,5,5.0,75,44.12350000000001,0.7608695652173914
12,General Health,gpt-4,5,5,5,5,5.0,138,52.723840579710156,0.6624203821656051
12,General Health,gpt-4-turbo,5,5,5,5,5.0,148,50.09659159159162,0.6030927835051546
13,Pregnancy/Reproductive Health,gpt-3.5-turbo,4,5,5,5,4.75,82,18.890914634146355,0.7608695652173914
13,Pregnancy/Reproductive Health,gpt-4,4,5,5,4,4.5,99,35.48345454545455,0.7321428571428571
13,Pregnancy/Reproductive Health,gpt-4-turbo,4,5,5,4,4.5,152,29.954619883040976,0.5520833333333334
14,Nutrition/Lifestyle,gpt-3.5-turbo,4,5,5,5,4.75,100,29.90300000000002,0.6833333333333333
14,Nutrition/Lifestyle,gpt-4,4,5,5,5,4.75,152,35.35333333333335,0.5810055865921788
14,Nutrition/Lifestyle,gpt-4-turbo,4,5,5,5,4.75,147,31.645599489795927,0.5510204081632653
15,Nutrition/Lifestyle,gpt-3.5-turbo,2,5,5,4,4.0,87,35.007025862068986,0.7263157894736842
15,Nutrition/Lifestyle,gpt-4,2,5,5,4,4.0,131,33.645053435114534,0.6516129032258065
15,Nutrition/Lifestyle,gpt-4-turbo,1,5,5,2,3.25,162,29.614583333333343,0.5495049504950495
16,Medical Procedures,gpt-3.5-turbo,5,5,5,5,5.0,99,37.19254545454547,0.6226415094339622
16,Medical Procedures,gpt-4,5,5,5,5,5.0,171,50.952184210526326,0.5595854922279793
16,Medical Procedures,gpt-4-turbo,5,5,5,5,5.0,166,33.139889579020036,0.5306122448979592
17,Medical Procedures,gpt-3.5-turbo,5,5,5,5,5.0,89,41.59040262172286,0.7128712871287128
17,Medical Procedures,gpt-4,5,5,5,5,5.0,162,44.82138888888892,0.5846994535519126
17,Medical Procedures,gpt-4-turbo,5,5,5,5,5.0,144,33.93858731196863,0.6129032258064516
